,Carbohydrate,Energy,Fat,Fibre,Of which Saturates,Of which Sugars,Protein,Salt,Sodium,product_name,Magnesium,Folic Acid,Of which Polyols,Calcium,Iron,Of which Starch,Vitamin C,Of which Cholesterol,Potassium,Vitamin E,Selenium,Iodine,box,label-glued,shrinkwrap,Of which Polyunsaturated,Niacin,Riboflavin,Thiamin,Omega 3,Polyunsaturates,Of which Trans,Omega 6,Omega 9
384,53g,579kcal,40g,0g,24g,45g,5g,0.1g,,Food Thoughts White 35% Cacao Discs,,,,190mg,,,,,270mg,,,,,,,,,,,,,,,
385,54g,583kcal,38g,,23g,53g,5.9g,0.22g,,Dr.Oetker Letters & Numbers,,,,,,,,,,,,,,,,,,,,,,,,
386,71.7g,426kcal,15.5g,0.0g,8.5g,69.2g,0.0g,0.61g,,Betty Crocker Lemon Icing,,,,,,,,,,,,,,,,,,,,,,,,
387,82.4g,382kcal,5.8g,0.0g,5.3g,76.1g,0.0g,0.0g,,Cooks' Ingredients Rose Decorations,,,,,,,,,,,,,,,,,,,,,,,,
388,67g,425kcal,17g,,5.0g,62g,0.1g,0.24g,,Dr.Oetker Vanilla Cupcake Icing,,,,,,,,,,,,,,,,,,,,,,,,
389,86.3g,351kcal,0.1g,0.0g,0.1g,85.9g,1.2g,0.12g,,Create a Cake Icing Decorations Birthday,,,,,,,,,,,,,,,,,,,,,,,,
390,,,,,,,,,,Talking Tables Party Animals Candles,,,,,,,,,,,,,,,,,,,,,,,,
391,70.1g,308kcal,0.8g,4.1g,0.3g,69.2g,2.9g,0.03g,,Waitrose Duchy Sultanas,,,,,,,,,,,,,,,,,,,,,,,,
392,69.3g,297kcal,<0.5g,3.9g,0.2g,69.3g,2.1g,0.15g,,Essential Raisins,,,,,,,,,,,,,,,,,,,,,,,,
393,69.4g,300kcal,<0.5g,4.2g,0.1g,69.4g,2.7g,0.05g,,Essential Sultanas,,,,,,,,,,,,,,,,,,,,,,,,
394,66.8g,297kcal,0.5g,8.3g,0.2g,60.2g,2.2g,0.0g,,Waitrose Dried Pitted Deglet Nour Dates,,,,,,,,,,,,,,,,,,,,,,,,
395,74.5g,328kcal,0.9g,4.9g,0.2g,42.8g,3.0g,0.02g,,Waitrose Duchy Raisins,,,,,,,,,,,,,,,,,,,,,,,,
