,Carbohydrate,Energy,Fat,Of which Saturates,Of which Sugars,Protein,Salt,product_name,Calcium,Fibre,Vitamin D,Vitamin B12,Riboflavin,Vitamin C,Thiamin,Of which Polyunsaturated,Sodium,Vitamin E,Iodine,Vitamin B6,Omega 3,Chloride,Vitamin A,Manganese,Vitamin K,Potassium,Iron,Zinc,Niacin,Folic Acid,Pantothenic Acid,Biotin,Magnesium,Selenium,Salt Equivalent,Copper,Polyunsaturates,Of which Polyols,Of which Trans,Of which Starch,Cholesterol
31,10.8g,96kcal,3.7g,2.3g,10.7g,4.8g,0.13g,Yeo Valley Limited Edition Yogurt,156mg?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,10.7g,97kcal,3.9g,2.6g,10.6g,4.6g,0.15g,Yeo Valley Mango & Vanilla Yogurt,153mg?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,19.4g,150kcal,5.8g,4.0g,15.6g,4.5g,0.23g,Müller Corner Milk Chocolate Digestives Yogurt,112mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,12.51g,97kcal,3.8g,2.31g,11.74g,3.16g,0.1g,Bonne Maman Rhubarb & Strawberry Yoghurt,,0.47g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,9.9g,63kcal,0.8g,0.5g,9.9g,3.0g,0.12g,Yoplait Petits Filous Yogurt Strawberry Sport Cap,120mg,,0.75µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,7.0g,92kcal,3.9g,2.8g,6.3g,7.2g,0.10g,FAGE Junior Strawberry Yoghurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,24.0g,139kcal,2.2g,0.5g,12.0g,0.1g,,MOMA Bircher Muesli Strawberry & Banana,,4.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,7.0g,52kcal,<0.5g,0.1g,6.2g,4.9g,0.23g,Müller Light Strawberry Fat Free Yogurt,135mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,7.2g,105kcal,5.8g,3.7g,6.8g,6.0g,0.18g,The Collective Dairy Straight Up Yoghurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3.9g,235kcal,23g,20g,3.3g,1.9g,0.28g,Co Yo Natural Coconut Milk Yoghurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0g,42kcal,2.3g,0.4g,0g,4.0g,0.25g,Alpro Plain No Sugars Yoghurt Alternative,120mg*,0.9g,0.75µg*,0.38µg*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,5.4g,120kcal,9.2g,5.6g,5.4g,4.0g,0.12g,Essential Greek Style Yogurt,18% of NRV,0.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7.5g,66kcal,2.2g,0.4g,7.5g,3.7g,0.20g,Alpro Vanilla Yoghurt Alternative,120mg*,0.9g,0.75µg*,0.38µg*,0.21mg*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.6g,68kcal,3.3g,0.6g,2.5g,5.8g,0.36g,Alpro Greek Style Plain Yoghurt Alternative,120mg*,1.5g,0.75µg*,0.38µg*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.1g,50kcal,2.3g,0.4g,2.1g,4.0g,0.25g,Alpro Plain Yoghurt Alternative,120mg*,1.0g,0.75µg*,0.38µg*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7.2g,105kcal,5.8g,3.7g,6.8g,6.0g,0.18g,The Collective Dairy Straight Up Greek Style Yoghurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,14.0g,133kcal,6.4g,4.4g,12.2g,4.9g,0.09g,St Helen's Farm Heavenly Goats Milk Blossom Honey Yogurt,211mg*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7.4,73kcal,0.5,0.1,6.9,9.6,0.13,Arla Skyr Strawberry Yogurt,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.3g,55kcal,3.0g,1.1g,2.1g,3.9g,0.32g,Alpro Plain with Coconut Yoghurt Alternative,120mg*,0.8g,0.75µg*,0.38µg*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,8.0g,79kcal,4.9g,4.2g,4.3g,0.6g,0.35g,Koko Plain,160mg,0.2g,0.75µg,0.38µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,4.9g,85kcal,5.9g,0.5g,2.2g,1.8g,0.29g,Nush Almond M•lk Yog Raspberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,13.2g,106kcal,3.8g,2.4g,12.9g,4.8g,0.18g,Yeo Valley Raspberry & Passion Fruit Yogurt,126mg?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,16g,136kcal,7.3g,6.1g,4.3g,1.6g,0.25g,The Collective Plant Fudge Yoghurt Alternative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,9.4g,108kcal,5.5g,3.8g,7.2g,4.9g,0.13g,The Collective Kefir Coconut Cultured Yoghurt,170mg,,,0.20µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,13g,116kcal,6.1g,5.0g,1.0g,1.5g,0.22g,The Collective Plant Plain Yoghurt Alternative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,10.6g,102kcal,4.5g,2.9g,9.7g,4.7g,0.12g,Yeo Valley Organic Little Yeos Fruity Favourites Yogurt,168mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,12.6g,99kcal,2.7g,1.8g,11.0g,6.1g,0.1g,Munch Bunch DoubleUp Strawberry & Vanilla Fromage Frais,149mg,,0.9µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,7.6g,73kcal,3.0g,1.9g,7.0g,3.7g,0.09g,Yeo Valley Organic Little Yeos +6m Red Berries Yogurt,132mg?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,7.0g,92kcal,3.9g,2.8g,6.3g,7.2g,0.10g,FAGE Junior Vanilla Yoghurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,13.0g,92kcal,2.7g,1.8g,11.8g,3.9g,0.3g,Munch Bunch Squashums Yogurt Strawberry Raspberry,117mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,12.1g,91kcal,2.7g,1.8g,10.9g,3.7g,0.15g,Yoplait Wildlife Choobs,162mg,<0.1g,3.4µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,7.8g,77kcal,3.4g,2.1g,7.4g,3.8g,0.09g,Yeo Valley Organic Little Yeos +6m Apple & Pear Yogurt,130mg?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,10.6g,89kcal,2.4g,1.6g,10.0g,5.3g,0.13g,Peppa Pig Strawberry Fromage Frais,170mg,0.1g,2.9µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,12.6g,92kcal,3.2g,2.1g,12.0g,3.2g,0.12g,The Collective Dairy For Kids Vanilla Puds,112mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,5.6g,67kcal,2.7g,1.7g,5.3g,4.8g,0.11g,Danone Kids Strawberry & Banana Yogurts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,9.0g,79kcal,2.9g,1.9g,8.0g,3.7g,0.10g,The Collective Dairy For Kids Strawberry Suckies,131mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,9.3g,77kcal,2.8g,2.0g,7.8g,3.6g,0.09g,The Collective Dairy For Kids Peach & Apricot Suckies,124mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,8.5g,84kcal,3.0g,0.5g,8.2g,5.2g,0.22g,Alpro Soya Strawberry,120mg*,1.2g,0.75µg*,0.38µg*,0.21mg*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,5.6g,67kcal,2.7g,1.7g,5.3g,4.8g,0.11g,Danone Kids Organic Strawberry & Banana Yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,13.3g,118kcal,4.7g,3.1g,12.0g,5.4g,0.13g,The Collective Dairy Raspberry Yoghurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,9.7g,78kcal,2.8g,1.8g,9.7g,3.8g,0.15g,Glenilen Farm Rhubarb Yoghurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
