,Carbohydrate,Energy,Fat,Of which Saturates,Of which Sugars,Protein,Salt,product_name,Calcium,Fibre,Vitamin D,Vitamin B12,Riboflavin,Vitamin C,Thiamin,Of which Polyunsaturated,Sodium,Vitamin E,Iodine,Vitamin B6,Omega 3,Chloride,Vitamin A,Manganese,Vitamin K,Potassium,Iron,Zinc,Niacin,Folic Acid,Pantothenic Acid,Biotin,Magnesium,Selenium,Salt Equivalent,Copper,Polyunsaturates,Of which Polyols,Of which Trans,Of which Starch,Cholesterol
875,45.1g,242kcal,2.3g,0.5g,3.2g,8.3g,0.99g,Waitrose Soft White Medium Sliced,,4.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,48.2g,295kcal,7.1g,0.8g,3.9g,8.0g,0.9g,Black Sheep Craft Bakery White Tiger Bloomer,,3.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,46.4g,244kcal,2.0g,0.5g,3.0g,9.1g,0.98g,Warburtons toastie thick sliced white bread,,2.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,45.1g,242kcal,2.3g,0.5g,3.2g,8.3g,0.99g,Waitrose Soft White Thick Bread,,4.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,44.6g,233kcal,1.7g,0.3g,3.5g,8.7g,0.90g,Hovis Soft White Medium,,2.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,40.4g,241kcal,5.9g,0.5g,2.0g,4.0g,0.74g,Warburtons Tiger Bloomer,,5.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,44.4g,232kcal,1.3g,0.3g,6.3g,9.2g,0.98g,Waitrose Soft White Farmhouse,,3.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,45.8g,243kcal,1.2g,0.2g,2.3g,10.5g,1.00g,Warburtons danish sliced white bread,,2.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,45.4g,244kcal,2.0g,0.5g,2.9g,9.1g,0.98g,Warburtons toastie thick sliced white bread,,2.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,49.0g,236kcal,0.8g,0.2g,0.0g,7.1g,1.4g,Bertinet Bakery White Sourdough Sliced,,2.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,44.6g,233kcal,1.7g,0.3g,3.5g,8.7g,0.90g,Hovis soft white thick,,2.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,45.5g,232kcal,1.1g,0.3g,3.5g,8.1g,0.89g,Essential White Medium Sliced Bread,,3.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,44.4g,232kcal,1.3g,0.3g,6.3g,9.2g,0.98g,Waitrose Soft White Farmhouse,,3.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,45.9g,250kcal,2.7g,0.8g,2.2g,8.6g,0.9g,Jackson's Half White Bloomer,,4.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,49.0g,236kcal,0.8g,0.2g,0.0g,7.1g,1.4g,Bertinet White Sourdough Loaf,,2.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,44.3g,248kcal,2.9g,0.6g,2.6g,9.8g,0.98g,Warburtons Old English White,,2.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,43.9g,238kcal,3.9g,0.3g,4.6g,3.2g,0.96g,Waitrose Free From Tiger Loaf,,7.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,45g,239kcal,3.4g,0.5g,3.3g,3.5g,1.0g,Schär Wholesome White Loaf,,7.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,44.2g,238kcal,1.9g,0.6g,1.9g,9.7g,1.2g,Jacksons of Yorkshire The 1851 Loaf,,2.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,45.4g,244kcal,2.0g,0.5g,2.9g,9.1g,0.98g,Warburtons white bread medium sliced,,2.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,42.6g,292kcal,7.9g,0.9g,3.9g,9.7g,0.75g,"Waitrose Duchy Wheat, Rye & Sunflower Bloomer",,5.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,51g,254kcal,5.2g,0.4g,3.9g,1.8g,1.5g,Genius Soft White Farmhouse Loaf,160.7mg,8.5g,,,0.2mg,,0.2mg,,,,,,,,,,,,3mg,,2.8mg,55.7µg,,,,,,,,,,,
897,53.8g,278kcal,5.9g,0.6g,12.6g,5.9g,,Cohens Bakery challa,,1.7g,,,,,,,,,,,,,,,,,,,,,,,,,0.9g,,,,,,
898,39.1g,236kcal,5.9g,0.6g,1.9g,4.1g,0.74g,Warburtons White Sourdough Cob,,5.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,37.9g,249kcal,6.5g,0.6g,2.0g,4.1g,0.83g,Warburtons Gluten Free White Bread,632mg,5.8g,,,,,,1.7g,,,,,,,,,,,2.5mg,,,,,,,,,,,,,,
900,42.0g,278kcal,6.6g,0.6g,3.8g,10.0g,0.88g,Hovis Seed Sensations Original Seven Seeds,,5.3g,,,,,,,,,,,2.18g,,,,,,,,,,,,,,,,,,,,
901,35.5g,290kcal,9.0g,1.3g,1.3g,13.3g,0.85g,Jacksons Super-Seed Brown Bloomer,,6.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,47.2g,247kcal,1.3g,0.3g,2.5g,9.3g,1.19g,Waitrose Multigrain Farmhouse Batch,,4.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,39.7g,293kcal,8.9g,1.3g,2.6g,10.6g,0.95g,Warburtons seeded batch loaf,,6.0g,,,,,,4.2g,,,,,,,,,,,,,,,,,,,,,,,,,
904,39.1g,278kcal,7.7g,1.0g,2.4g,10.6g,0.74g,Waitrose Farmhouse Batch Multiseed,,4.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,46.4g,256kcal,2.4g,0.7g,3.4g,10.3g,1.03g,Hovis Granary Medium,,3.7g,,,,,0.23mg,,,,,,,,,,,,,,,,,,,,,,,,,,
906,45g,291kcal,8.7g,0.8g,1.1g,3.8g,0.71g,Genius Triple Seeded Farmhouse Loaf,195.7mg,8.0g,,,0.3mg,,0.3mg,,,,,,,,,,,,3.6mg,,3.2mg,62.3µg,,,,,,,,,,,
907,42.0g,278kcal,6.6g,0.6g,3.8g,10.0g,0.88g,Hovis seed sensations original seven seeds,,5.3g,,,,,,,,,,,2.12g,,,,,,,,,,,,,,,,,,,,
908,34.0g,241kcal,5.1g,0.7g,4.8g,12.0g,0.85g,Vogel's soya & linseed bread,,6.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,46.4g,256kcal,2.4g,0.7g,3.4g,10.3g,1.03g,Hovis Granary Original Loaf,,3.7g,,,,,0.23mg,,,,,,,,,,,,,,,,,,,,,,,,,,
910,32.9g,282kcal,9.3g,1.2g,3.2g,12.9g,0.80g,Waitrose Duchy Wholemeal Seeded Bloomer,,7.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,44.7g,249kcal,2.5g,0.6g,4.9g,9.6g,0.90g,Waitrose Ancient Grains & Oat Cob,,4.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,42.7g,278kcal,7.3g,0.8g,1.3g,5.8g,0.82g,Waitrose Free Sliced Seeded Cob,,9.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,40.0g,214kcal,0.9g,0.2g,4.4g,8.4g,0.69g,Vogel's original mixed grain bread,,6.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,39.8g,236kcal,2.4g,0.4g,2.4g,10.6g,0.98g,Hovis Granary Wholemeal,,6.8g,,,,,0.25mg,,,,,,,,,,,,,,,,,,,,,,,,,,
915,39.2g,247kcal,2.9g,0.4g,3.1g,11.5g,0.78g,Hovis Fabulous Fibre Sliced Loaf,,9.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,47.4g,253kcal,1.7g,0.4g,2.9g,9.9g,1.18g,Waitrose Multigrain Farmhouse Loaf,,4.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,38.3g,292kcal,9.2g,1.4g,2.7g,11.5g,1.03g,Waitrose Multiseed Farmhouse Loaf,,5.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,41.0g,253kcal,5.3g,0.7g,0.5g,8.3g,1.2g,Bertinet Bakery Seeded Sourdough,,4.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,41g,256kcal,6.2g,0.8g,5.8g,4.4g,0.91g,Schär Wholesome Seeded Loaf,,8.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,34.5g,278kcal,8.7g,1.6g,1.6g,10.9g,0.9g,Jackson's Half Seeded Bloomer,,9.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,48.6g,260kcal,2.9g,0.7g,4.4g,8.1g,0.98g,Essential White Sesame Seed Burger Buns,,3.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,40.5g,234kcal,2.3g,0.3g,3.8g,10.4g,1.01g,Hovis Glorious Grains Sliced Loaf,,5.1g,,,,,0.21mg,,,,,,,,,1.30mg,,,,,,,,,,,,0.21mg,,,,,
923,11.6g,251kcal,8.4g,1.0g,2.8g,25.9g,0.80g,Livlife seriously seeded sliced bread,,12.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,37.0g,275kcal,9.1g,0.9g,1.2g,4.4g,0.84g,Waitrose Free From Mixed Seed Loaf,,13.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,36g,262kcal,9.2g,1.1g,0.9g,4.5g,1.0g,Schär Gluten Free Vitality Loaf,,8.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,28.5g,241kcal,7.2g,1g,0.6g,8.5g,1.05g,BFree Brown Seeded Loaf,,14.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,41g,253kcal,5.3g,0.7g,0.5g,8.3g,1.2g,Bertinet Seeded Sourdough Loaf,,4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,38.5g,290kcal,10.9g,1.0g,2.1g,6.3g,0.80g,Warburtons Gluten Free Multiseed Bread,541mg,6.5g,,,,,,3.8g,,,,,,,,,,,2.5mg,,,,,,,,,,,,,,
929,43.4g,259kcal,3.5g,0.6g,2.0g,10.5g,0.8g,Jackson's Brown Bloomer,,6.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,37.8g,221kcal,1.8g,0.4g,4.1g,10.0g,0.90g,Hovis Wholemeal Medium,,6.8g,,,,,0.23mg,,,,,,,,,,,,,,,,,,,,,,,,,,
931,37.8g,234kcal,2.9g,0.5g,3.3g,11.0g,0.95g,Allinson's The Champion Wholemeal,,6.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,37.8g,221kcal,1.8g,0.4g,4.1g,10.0g,0.90g,Hovis Wholemeal Sliced Bread,,6.8g,,,,,0.23mg,,,,,,,,,,,,,,,,,,,,,,,,,,
933,36.2g,217kcal,1.7g,0.5g,2.0g,10.7g,0.90g,Essential Wholemeal Medium Sliced Bread,,7.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,37.8g,231kcal,2.8g,0.5g,2.4g,10.6g,0.95g,Warburtons Wholemeal,,6.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,39.1g,232kcal,1.9g,0.7g,2.6g,10.8g,1.0g,Waitrose Wholemeal Farmhouse Medium,,7.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,40.5g,233kcal,2.4g,0.3g,3.3g,9.0g,1.10g,Waitrose Duchy wholemeal batch,,6.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,37.8g,221kcal,1.8g,0.4g,4.1g,10.0g,0.90g,Hovis wholemeal thick,,6.8g,,,,,0.23mg,,,,,,,,,,,,,,,,,,,,,,,,,,
938,37.6g,227kcal,2.1g,0.3g,1.0g,10.5g,0.8g,Cranks wholelotta loaf wholemeal bread,,7.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,39.1g,232kcal,1.9g,,2.6g,10.8g,1.0g,Waitrose Wholemeal Farmhouse Thick,,7.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,39.1g,232kcal,1.9g,0.7g,2.6g,10.8g,1.0g,Waitrose Wholemeal Farmhouse Thick,,7.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,30.9g,267kcal,8.2g,2.2g,1.8g,11.5g,0.89g,Waitrose Brown & Linseed Half Bloomer,,11.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,44.1g,235kcal,1.3g,0.2g,1.3g,10.2g,0.56g,No.1 Spelt Sourdough Bread,,3.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,45.3g,227kcal,0.8g,0.2g,1.0g,7.6g,0.78g,No.1 Wheat & Rye Sourdough Sliced,,4.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,52.0g,252kcal,0.8g,0.2g,1.2g,7.3g,1.0g,Bertinet Bakery Malted Wheat Sourdough Sliced,,2.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,44.3g,237kcal,1.9g,0.3g,1.2g,8.7g,0.78g,No.1 Malt Sourdough Bread with Seeds,,4.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,44.8g,221kcal,1.0g,0.2g,2.8g,5.9g,0.51g,No.1 Rye and Wheat Dark Sourdough Bread,,4.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,48.2g,277kcal,5.4g,0.6g,1.2g,5.4g,0.77g,Waitrose Free From Sourdough,,6.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,48.3,224kcal,1.3,0.4,1.7,8.5,0.1,GAIL's San Francisco Sourdough 650g,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,52.0g,252kcal,0.8g,0.2g,1.2g,7.3g,1.0g,Bertinet Bakery Malted Wheat Sourdough Loaf,,2.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,38g,220kcal,3.7g,0.5g,5.3g,4.1g,1.0g,Schär Gluten Free Deli Style Sourdough,,8.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,46.7g,242kcal,1.1g,0.1g,2.1g,8.8g,0.55g,Waitrose No. 1 Sourdough with Dark Ale,,4.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,41.8g,238kcal,3.4g,0.3g,5.1g,8.2g,0.9g,Rankin selection Irish brown soda bread,,4.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,43.4g,259kcal,3.5g,0.6g,2.0g,10.5g,0.8g,Jackson's Half Brown Bloomer,,6.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,38.3g,232kcal,1.7g,0.4g,2.1g,11.8g,0.98g,Waitrose Heyford Half Bloomer,,8.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,39.1g,209kcal,3.7g,0.8g,5.3g,9.7g,0.8g,Rankin selection stoneground Irish wheaten sliced,,4.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,44g,256kcal,5.8g,0.4g,2.7g,2.2g,0.94g,Genius Soft Brown Farmhouse Loaf,189mg,9.1g,,,0.3mg,,0.2mg,,,,,,1mg,,,,,,3.5mg,,3mg,62µg,,,,,,,,,,,
957,"38,9",201kcal,"1,0","0,1","2,2","5,2","1,15",Schneider Brot German vollkornbrot 10 slices,,"7,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,34.4g,211kcal,3.8g,0.6g,3.3g,5.3g,1.0g,Schneider Brot sunflower seed bread rye & sunflower seed,,9.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,48.2g,190kcal,1.5g,0.3g,0.6g,4.9g,0.99g,The Village Bakery Rye Bread,,8.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9g,,,,
960,11.8g,353kcal,26.7g,2.8g,1.4g,9.8g,1g,The Heart of Nature Pure Grain Bread,,13g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,45.2g,243kcal,6.0g,0.5g,0.9g,6.1g,0.9g,Cohens Bakery Buckingham rye bread,,1.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962,40.8g,226kcal,1.6g,0.3g,2.9g,9.5g,0.90g,Hovis Best of Both Medium,357mg,5.6g,1.5µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,40.8g,226kcal,1.6g,0.3g,2.9g,9.5g,0.90g,Hovis best of both thick,357mg,5.6g,1.5?g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,36.9g,184kcal,3.6g,0.4g,2.9g,2.3g,1.0g,Rankin selection 4 Irish potato slims,,2.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,35.7g,235kcal,3.3g,1.2g,2.7g,11.0g,0.65g,Wholemeal Heyford,,9.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,48.4g,252kcal,1.9g,0.6g,2.8g,8.9g,0.90g,White Farmhouse,,2.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,35.9g,224kcal,2.5g,0.8g,2.3g,9.7g,0.85g,Duchy Organic Wholemeal Farmhouse,,9.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,36.4g,229kcal,2.4g,0.8g,2.8g,10.8g,0.79g,Wholemeal Farmhouse,,9.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,44.8g,259kcal,3.5g,1.3g,3.5g,8.6g,0.91g,Granary ® Loaf,,6.7g,,,,,,0.9g,0.37g,,,,,,,,,,,,,,,,,,,,,,,,
970,35.7g,235kcal,3.3g,1.2g,2.7g,11.0g,0.65g,Wholemeal Heyford,,9.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,48.4g,252kcal,1.9g,0.6g,2.8g,8.9g,0.90g,White Sandwich,,2.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,45.7g,244kcal,2.1g,0.7g,2.6g,8.6g,0.93g,White Sourdough Tin 700g,,3.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,36.4g,229kcal,2.4g,0.8g,2.8g,10.8g,0.79g,Wholemeal Loaf,,9.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,45.2g,235kcal,1.3g,0.2g,1.8g,9.0g,0.87g,San Francisco Sourdough Style Bloomer,,2.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,47.9g,252kcal,1.7g,0.6g,1.3g,9.8g,1.2g,No.1 White Sourdough,,3.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,51.8g,279kcal,2.4g,0.3g,4.1g,10.7g,0.38g,Tiger Bloomer 600g,,3.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,46.3g,241kcal,1.6g,0.2g,3.1g,8.8g,0.90g,Stonebaked White Boule,,3.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,50.6g,285kcal,4.2g,0.6g,1.2g,9.5g,0.90g,Duchy Organic Wholemeal Bloomer,,3.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,48.9g,269kcal,2.9g,0.9g,2.2g,9.7g,0.90g,Poppy Seed White Bloomer,,4.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,45.5g,239kcal,1.4g,0.1g,2.4g,9.1g,0.90g,Brown San Francisco Style Sourdough Boule,,3.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,40.4g,278kcal,7.2g,4.3g,4.9g,11.7g,0.95g,Cheese Boule,,2.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,42.2g,274kcal,5.5g,0.6g,2.3g,10.6g,0.89g,Seeded Sourdough Bloomer,,6.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,48.4g,252kcal,1.9g,0.6g,2.8g,8.9g,0.90g,White Tin,,2.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,39.4g,237kcal,2.9g,0.3g,2.7g,9.8g,0.89g,Duchy Organic Seeded Brown Bloomer 400g,,7.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,45.6g,264kcal,4.2g,0.4g,4.5g,8.5g,0.78g,Light Rye Boule 400g,,5.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,41.7g,233kcal,1.8g,0.7g,1.7g,9.1g,0.85g,No.1 Spelt & Rye Sourdough,,6.7g,,,,,,0.7g,,,,,,,,,,,,,,,,,,,,,,,,,
987,37.8g,275kcal,6.9g,1.4g,2.9g,11.5g,0.83g,Six Seeded Small Loaf,,7.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,37.6,234kcal,6.5,1,0.6,8.5,0.9,Gails Seeded Sourdough 650g,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,47.3g,245kcal,1.5g,0.3g,6.0g,7.9g,0.91g,No.1 Apricot & Fennel Sourdough 400g,,5.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,41.5,188kcal,0.8,0.2,0.5,6.3,1,GAIL's Dark Sourdough 650g,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,33.9,209kcal,7,1,1,5.5,2.9,Gail's Mixed Olive Sourdough,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,40.8g,270kcal,6.5g,3.9g,2.6g,11.5g,0.93g,Three Cheese Bloomer,,1.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,43.2,194kcal,0.6,0.2,0.4,6.2,1,GAIL's White Sourdough 650g,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,41.6g,218kcal,0.9g,0.2g,2.7g,8.5g,1.4g,"No.1 Sun Dried Tomato, Onion & Basil Sourdough",,4.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,45.2g,282kcal,5.9g,0.7g,1.1g,9.6g,0.75g,No.1 5 Seeds White Sourdough,,4.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,44.2g,280kcal,7.1g,0.9g,1.3g,8.2g,1.1g,No.1 Kalamata Olive Sourdough,,3.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,42.1,203kcal,2,0.3,0.5,6,0.8,GAIL's Potato & Rosemary Sourdough 650g,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,48,207kcal,0.6,0.1,14.7,5.1,1,Gail's Currant and Sour Cherry Sourdough Loaf 500g,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,47.4g,245kcal,1.2g,0.2g,1.2g,8.9g,0.80g,Ancient Grains Loaf,,4.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,35.1g,245kcal,6.7g,2.4g,1.8g,9.3g,0.87g,No.1 Mixed Olive & Feta Sourdough,,3.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,52.8g,259kcal,0.9g,0.2g,4.7g,8.7g,0.84g,Essential Baguette,,2.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,53.0g,260kcal,0.9g,0.2g,4.7g,8.7g,0.90g,Small Baguette,,2.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,53.7g,265kcal,1.0g,0.2g,2.8g,8.9g,0.90g,Flute,,3.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,51.0g,250kcal,0.8g,0.1g,2.4g,8.5g,0.72g,Sourdough Baguette,,2.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,51.1g,267kcal,2.8g,0.4g,2.5g,7.5g,1.1g,Mixed Olive Ficelle,,3.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,48.1g,277kcal,3.6g,0.3g,2.5g,10.4g,0.90g,Sourdough with Mixed Seeds Demi Baguette,,5.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,44.7g,258kcal,2.6g,0.3g,3.2g,11.3g,0.71g,Mixed Seed Baguette,,5.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,49.0g,246kcal,1.3g,0.2g,2.6g,8.0g,0.85g,Poppy Seed Demi Baguette,,3.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,49.0g,239kcal,0.7g,0.1g,2.3g,8.1g,0.63g,White Sourdough Twist,,1.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,50.0g,267kcal,2.8g,0.4g,2.7g,8.8g,1.1g,Mixed Olive Roll,,3.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,49.6g,255kcal,1.8g,0.8g,1.8g,8.7g,0.89g,Stone Baked Pain Rustique Roll,,2.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,52.6g,265kcal,1.3g,0.2g,3.8g,9.0g,0.82g,Crusty Roll,,3.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,49.7g,283kcal,3.8g,2.5g,2.9g,11.3g,0.89g,Cheese Rustique,,2.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,43.5g,242kcal,1.7g,0.5g,1.0g,10.4g,0.90g,Stone Baked Paysan Rustique Roll,,5.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,43.1g,254kcal,1.8g,0.3g,4.1g,11.9g,0.82g,Rustic Wholemeal Roll,,8.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,43.8g,272kcal,4.8g,2.0g,3.2g,11.4g,1.0g,Waitrose Ciabatta Roll,,4.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,52.2g,262kcal,1.2g,0.3g,3.6g,7.9g,0.87g,Malted Wheat Rolls,,5.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,56.5g,277kcal,1.2g,0.2g,4.0g,8.4g,0.84g,Tiger Roll,,3.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,49.0g,266kcal,3.7g,0.7g,3.3g,8.3g,0.82g,Black Olive Petite Ficelle,,1.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,48.6g,260kcal,2.9g,0.7g,4.4g,8.1g,0.98g,Essential White Floured Baps,,3.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,49.3g,245kcal,0.9g,0.2g,3.8g,8.8g,0.83g,Waitrose Soft & Floury White Rolls,,2.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,48.6g,260kcal,2.9g,0.7g,4.4g,8.1g,0.98g,Essential White Finger Rolls,,3.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,48.6g,260kcal,2.9g,0.7g,4.4g,8.1g,0.98g,essential Waitrose White Giant Baps,,3.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,40.2g,291kcal,8.7g,3.5g,2.7g,11.3g,0.89g,Waitrose Mature Cheddar Rolls,,3.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
